Type,hash,Date,Domain,Redirection,Clicks
bit.ly,2exP0Jd,10/27/2016 2:09:41,israellinarabic[.]com,http://israellinarabic[.]com/أسماء-ضباط-إسرائيلین-قاعدة-لملك-فيصل/,11281
bit.ly,2exWPhu,11/5/2016 3:22:37,alryiadh[.]com,hxxp://alryiadh[.]com/1545748/,2749
goo.gl,ZyqkTU,09/20/2017 13:10:10,theatlatnic[.]com,hxxp://theatlatnic[.]com/international/archive/2017/09/shocking-document-shameful-acts-saudi-emiratis-cover-human-rights-abuses-yemen/549410/,2560
goo.gl,7pCH25,8/12/2017 11:10:28,xn--theguardan-4ub[.]com,hxxp://xn--theguardan-4ub[.]com/world/2017/aug/12/former-mi6-chief-admits-defeat-putin-russia-fragmentation-strategic-plan/,897
bit.ly,2tWlQfw,7/31/2017 6:24:37,alarabyia[.]org,hxxp://alarabyia[.]org/ar/last-page/2017/07/31/المملكة-خالفت-المشروع-الذي-قدمته-دولة-الإمارات-لاجتماع-الرباعية-العربية.html,890
goo.gl,NQbUVT,2/13/2017 11:01:56,alryiadh[.]com,hxxp://www.alryiadh[.]com/1571713/,838
goo.gl,MJSbQU,8/9/2017 11:35:16,theatlatnic[.]com,hxxp://theatlatnic[.]com/international/archive/2017/08/crown-prince-mohammed-bin-salman-appoints-his-brother-as-saudi-fm/538137/,556
bit.ly,2f5cese,8/1/2017 9:58:10,alnaḥaregypt[.]com,hxxp://alnaḥaregypt[.]com/t~541873/,250
goo.gl,vLzyjJ,2/18/2017 5:41:04,lesoir[.]info,hxxp://lesoir[.]info/1445748/article/actualite/france/2017-02-16/emmanuel-macron-candidat-prefere-de-arabie-saoudite/,244
goo.gl,BD4dvN,7/30/2017 5:05:33,xn--emaraalyoum-1b9e[.]com,hxxp://xn--emaraalyoum-1b9e[.]com/local-section/other/2017-07-29-1.1015498/index.html,235
bit.ly,2fquXyx,11/1/2016 8:27:49,mintpressnevvs[.]com,hxxp://mintpressnevvs[.]com/qatar-oiled-german-firm-palm-to-pull-out-of-tanks-deal-with-saudi-arabia/221898/,186
bit.ly,2lcSlNe,2/26/2017 6:05:40,mintpressnevvs[.]com,hxxp://mintpressnevvs[.]com/merkel-expresses-her-concerns-over-eu-future/225418/,137
bit.ly,2eJqxCv,10/20/2016 5:06:00,israellinarabic[.]com,hxxp://www.israellinarabic[.]com/الحاخام-الدول العربیة-تعزیة بیرز/,106
bit.ly,2dm2lA6,10/17/2016 6:00:10,bundesergierung[.]de,hxxp://bundesergierung[.]de/Content/EN/2016/10_en/2016-10-17-beziehung-saudi-arabien-vereinigte-staaten_en.html,102
bit.ly,2rcr6dC,06/10/2017 14:32:08,alettehad[.]net,hxxp://alettehad[.]net/details.php_id=34752_y=2017/,78
goo.gl,ShQ1l6,10/20/2016 7:23:25,israellinarabic[.]com,hxxp://www.israellinarabic[.]com/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9%20%E2%80%93%20%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%20%E2%80%93%20%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA%20%D8%A8%D8%AF%D9%88%D9%86%20%D8%B7%D9%8A%D8%A7%D8%B1/,68
bit.ly,2gYkjzM,7/25/2017 1:23:40,xn--theguardia-dq2e[.]com,hxxp://theguardiaṇ[.]com/us-news/2017/july/25/us-house-put-middle-east-parties-on-terrorist-list/index.html,54
goo.gl,bu7jFb,2/14/2017 14:25:50,alryiadh[.]com,hxxp://www.alryiadh[.]com/1571724/,52
bit.ly,2vqRe2i,7/16/2017 8:36:25,xn--sraelinarabic-29b[.]com,hxxp://ısraelinarabic[.]com/مسعود-بارزاني-اجتمع-مع-السلطات-الإسرائيلية-أثناء-زيارته-في-الأردن/,41
goo.gl,0uF12p,1/25/2017 10:13:35,ar.timesoffisrael[.]com,hxxp://ar.timesoffisrael[.]com/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86-%D8%A5%D8%AD%D8%AF%D9%89-%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%8A-%D9%84%D9%87%D8%A7-%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D9%85%D8%B9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/,32
goo.gl,34RtL6,1/26/2017 9:38:06,elwataannews[.]com,hxxp://elwataannews[.]com/news/details/1824187/index.php,32
bit.ly,2eA5kW9,11/8/2016 8:06:21,budapestbaecon[.]com,hxxp://budapestbaecon[.]com/civil-society/Saudi-ambassador-Awwad-Bin-Saleh-Al-Awwad-has-been-in-contact-with-Riaz-Khan-Ahmadzai/41950/,31
goo.gl,8juvuY,7/31/2017 6:39:58,xn--haarez-m17b[.]com,hxxp://xn--haarez-m17b[.]com/israel-news/1.784415/,29
bit.ly,2t4s2hi,7/16/2017 8:15:56,xn--r-2rm[.]com,hxxp://arabic.rṭ[.]com/business/888759-إذا-وصلت-الأمور-لحد-استخدام-القوة-سنستخدمها/,28
goo.gl,bns8iG,8/6/2017 6:33:55,xn--frace24-mkb[.]com,hxxp://xn--frace24-mkb[.]com/ar/20170806-%D8%AD%D8%A7%DA%A9%D9%85-%D8%AF%D8%A8%D9%8A-%D9%84%D8%A7%D8%A8%D8%AF-%D8%A3%D9%86-%D9%86%D8%B6%D8%B9-%D8%A3%D9%8A%D8%AF%D9%8A%D9%86%D8%A7-%D8%A3%D9%8A%D8%AF%D9%8A-%D8%A8%D8%B9%D8%B6/,28
goo.gl,vOjygl,4/19/2017 10:12:24,ar.timesoffisrael[.]com,hxxp://ar.timesoffisrael[.]com/%D9%8A%D9%88%D8%A7%D9%81%D9%82-%D8%A7%D9%84%D8%B9%D8%A7%D9%87%D9%84-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D8%B9%D9%84%D9%89%E2%80%93%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%A5%D9%82%D8%A7%D9%85/,27
bit.ly,2mHokJG ,3/14/2017 4:15:45,daylisabah[.]com,hxxp://daylisabah[.]com/eu-affairs/2017/03/13/europe-fears-of-erdogan-anger/,23
bit.ly,2ejYk1S,10/25/2016 9:28:03,daylisabah[.]com,hxxp://www.daylisabah[.]com/arabic/turkey/2016/10/23/us-built-isis-president-erdogan-says-1476786321/,21
goo.gl,91g056,2/7/2017 8:01:31,elwataannews[.]com,hxxp://www.elwataannews[.]com/news/details/1833639/index.php,20
goo.gl,3gS1c4,5/30/2017 13:45:02,foriegnpolicy[.]net,hxxp://foriegnpolicy[.]net/2017/05/31/saudi-arabia-cancelled-arms-deal-turkey-because-ankara-doha-coalition-in-support-of-terrorist-groups,15
bit.ly,2mfqIV8,3/12/2017 8:56:33,bloomberq[.]com,hxxp://bloomberq[.]com/politics/articles/2017-03-10/Giving-CIA-Medal-of-Honor-to-Saudi-Crown-Prince/,13
bit.ly,2fBuJTT,11/9/2016 1:59:08,budapestbaecon[.]com,hxxp://budapestbaecon[.]com/civil-society/Saudi-dollars-role-in-Jaber-al-Bakr-death/41991/,8
bit.ly,2lZMwER,2/19/2017 3:19:50,budapestbaecon[.]com,hxxp://budapestbaecon[.]com/civil-society/Joachim-Gauck-US-strives-for-its-own-interests/41982/,8
bit.ly,2evm7dw,10/20/2016 5:36:22,policito[.]com,hxxp://policito[.]com/2016/10/Robert-o.work-asks-turkey-not-to-interfere-in-mosul-liberation/,7
bit.ly,2lnCmOb,2/20/2017 12:39:14,daylisabah[.]com,hxxp://daylisabah[.]com/arabic/turkey/2017/02/18/turkek-sends-riot-ploice-to-bahrain/,7
bit.ly,2rc2yBl,5/23/2017 3:33:37,foriegnpolicy[.]net,hxxp://foriegnpolicy[.]net/2017/05/22/disclosure-of-documents-of-saudis-support-of-isis/,7
bit.ly,2q6wnhB,5/20/2017 8:34:56,aljlazeera[.]com,hxxp://aljlazeera[.]com/news/2017/05/saudi-arabia-funds-the-us-mexico-border-wall-170520063457521.html,6
bit.ly,2vUXNLw,7/30/2017 6:00:01,xn--theguardia-dq2e[.]com,http://theguardiaṇ.com/us-news/2017/july/25/us-house-put-middle-east-parties-on-terrorist-list/,6
bit.ly,2mCpzXN,2/27/2017 8:45:59,bloomberq[.]com,hxxp://bloomberq[.]com/politics/articles/2017-02-24/u-s-official-says-sanctions-on-russia-iran-u-s-power-to-coerce/,4
bit.ly,2rezg3O,6/1/2017 7:40:13,sharjah24[.]co,hxxp://sharjah24[.]co/ar/arabic/226871-/,4
bit.ly,2n0G0ki,3/13/2017 8:54:57,aliraq-news[.]com,hxxp://aliraq-news[.]com/سفين-دزيي-يكشف-عن-تورط-قنصل-الإمارات-محمد-راشد/,3
bit.ly,2dYm3Hm,11/1/2016 8:47:39,aliraq-news[.]com,hxxp://aliraq-news[.]com/العراق-مستعد-لاستقبال-العمال-المصريين/,1
bit.ly,2kdj286,1/28/2017 2:45:33,elwataannews[.]com,hxxp://elwataannews[.]com/news/details/1832712/index.php,1
bit.ly,2kesBTz,2/5/2017 0:28:52,mintpressnevvs[.]com,hxxp://mintpressnevvs[.]com/james-mattis-expresses-concern-over-yemen-war-prolongation/229418/,1
